"hbase-logging/src/main/java/org/apache/hadoop/hbase/logging/InternalLog4jUtils.java",61,87
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/hbase/metrics/impl/GlobalMetricRegistriesAdapter.java",115,141
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/hbase/metrics/impl/GlobalMetricRegistriesAdapter.java",145,162
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/hbase/regionserver/MetricsRegionAggregateSourceImpl.java",97,101
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/hbase/CompatibilityFactory.java",53,55
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/hbase/regionserver/MetricsRegionSourceImpl.java",291,296
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/metrics2/lib/DynamicMetricsRegistry.java",367,369
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/metrics2/lib/DynamicMetricsRegistry.java",370,372
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/metrics2/lib/DynamicMetricsRegistry.java",391,393
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/metrics2/lib/DynamicMetricsRegistry.java",532,534
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/metrics2/impl/MetricsExportHelper.java",36,38
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/hbase/master/balancer/MetricsStochasticBalancerSourceImpl.java",93,105
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/hbase/master/balancer/MetricsStochasticBalancerSourceImpl.java",94,104
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/hbase/metrics/impl/HBaseMetrics2HadoopMetricsAdapter.java",90,108
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/hbase/regionserver/MetricsUserAggregateSourceImpl.java",99,103
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/hbase/CompatibilitySingletonFactory.java",69,71
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/hbase/regionserver/MetricsTableSourceImpl.java",379,385
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/hbase/master/MetricsMasterQuotaSourceImpl.java",135,144
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/hbase/regionserver/MetricsTableAggregateSourceImpl.java",87,91
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/metrics2/lib/MutableRangeHistogram.java",68,77
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/metrics2/util/MetricSampleQuantiles.java",76,86
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/metrics2/util/MetricSampleQuantiles.java",128,148
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/metrics2/util/MetricSampleQuantiles.java",130,132
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/metrics2/util/MetricSampleQuantiles.java",166,178
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/metrics2/util/MetricSampleQuantiles.java",194,203
"hbase-hadoop-compat/src/main/java/org/apache/hadoop/metrics2/util/MetricSampleQuantiles.java",217,219
"hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlUtil.java",66,68
"hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlUtil.java",100,102
"hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlUtil.java",125,127
"hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlUtil.java",147,149
"hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlUtil.java",172,174
"hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlUtil.java",194,202
"hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlUtil.java",198,200
"hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlUtil.java",209,215
"hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlUtil.java",212,214
"hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlUtil.java",297,299
"hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlUtil.java",316,318
"hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlUtil.java",328,330
"hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlUtil.java",345,347
"hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlUtil.java",410,412
"hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlUtil.java",435,443
"hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlUtil.java",439,441
"hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlUtil.java",462,464
"hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlUtil.java",491,493
"hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlUtil.java",516,518
"hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlUtil.java",542,544
"hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlUtil.java",571,573
"hbase-client/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlUtil.java",597,599
