file_name;has_retry_gpt;has_sleep_gpt;has_cap_gpt;method_names
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/SslRMIServerSocketFactorySecure.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/HealthChecker.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/SplitLogCounters.java;No.;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/TableDescriptors.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/SslRMIClientSocketFactorySecure.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/LocalHBaseCluster.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/RegionStateListener.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/HealthCheckChore.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/HealthReport.java;No.;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/HBaseRpcServicesBase.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/ZNodeClearer.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/SplitLogTask.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/ExecutorStatusChore.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/HBaseServerBase.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/Server.java;No.;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/MetaTableAccessor.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/CoordinatedStateManager.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/JMXListener.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/MetaRegionLocationCache.java;Yes;Yes;Yes;loadMetaLocationsFromZk, updateMetaLocation
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/YouAreDeadException.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/SnapshotManifestV1.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/SnapshotInfo.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/SnapshotDescriptionUtils.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/SnapshotManifest.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/CreateSnapshot.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/SnapshotReferenceUtil.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/RestoreSnapshotHelper.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/SnapshotManifestV2.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/coordination/ZKSplitLogManagerCoordination.java;Yes;No;Yes;createNode, deleteNode, rescan, getDataSetWatch
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/coordination/SplitLogManagerCoordination.java;No;N/A;N/A;N/A
../repos/hbase_e1ad781/hbase-server/src/main/java/org/apache/hadoop/hbase/coordination/SplitLogWorkerCoordination.java;No;N/A;N/A;N/A
